address,allocation
0x268169a19bca3435451207f70be15436ed142f42,512
0x7b8405d2e5c06156c6336666a0d9029a6c3b1364,512
0x21316e6a4f0af45e5f1503984e83b10c53b177d8,512
0x985c0a74b9783022e4ad5c75279d2acab9dae96d,512
0x0093e5f2a850268c0ca3093c7ea53731296487eb,512
0xe4657af058e3f844919c3ee713df09c3f2949447,512
0x2e218a9dbc931a9de514f52ea9c941d1170555ff,512
0x3d6c59f38f3ffa496f0a80f76063bfb576d8e453,512
0x20ee31efb8e96d346ceb065b993494d136368e96,512
0xbbce57c4604149f97a10eaa4a718bc8f88b2e2b4,512
0x5c543ffecc4f9c1695fb7c854a8403cf797750d1,512
0x10b79b613da25c4cf60279d63f8ce827e89e1fa7,512
0x8bce57b7b84218397ffb6cefae99f4792ee8161d,512
0x064ebe90b4d32e8b18b684f60cab14609d2f6e78,512
0xd7a9fe9ac784bcd6f2b516e96a98f135cbb74f54,512
0x4297e08ee25a9eed190d4840c490bbf2332f22b0,512
0x0f13316b80872eda120d7844ed1c1e90fc001dc1,512
0x6d9dc875bf135f8e0e6d02c07c59d5d546f70070,512
0x1bc3621fd2348d46fa54524d165d50b5163902ba,512
0x7eabfe610657218bb4fd5620ed699b14de305412,512
0x1e7e1de4e62ab5291b011a9fae2da71e9a1e73c0,512
0xdb610086b3afa8a4f5827da6e615c109d240805f,512
0xfcad2eb79692c2aa0bcbaf3d3e29615dda94fe6d,512
0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,512
0x73eba8e4173ce8d4186ddde82fbaf123e2ad7dcd,512
0x39e2a1128a2a6a756c7c8ed501ff586a883c875d,512
0x000e8c608473dcee93021eb1d39fb4a7d7e7d780,512
0x99902368387ae8da8c9c7840af140a3bf1c31bea,512
0x53477b1af8479e5e2d4a68f95dbaed441a693d7d,512
0xbce3bd3b206946abbe094903ae2b4244b52fb4e9,512
0xc9f2f0fad3e1ba0ac02930830503a2dbcb878eb2,512
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,512
0x0909e9f58eb1f39521003d784ca0b4cabef6653a,512
0x9601e98765c6efb665127c69bdf501ce23919346,512
0x89cc08700dcba9d4bad5295dee2a111b90b39917,512
0x3d766ce34ee4fe3bef1ef6a68e72cc99add475d9,512
0xa362a9676db12606d339d10433c1af3618bca1d4,512
0x986ccf030a018f8190e7cf488ba9fec8df058199,512
0x3a98141fac8b5aeb53c21faf22172bb3c43acc21,512
0x51ec5e1b8b3c4c6bae49619e657f94c4ad577b45,512
0x5d7f92c45c2b6a1711a0a1a7b7f6608437d17e76,512
0x4a6993f8747f312184f97349fa5bc71b13d62c58,512
0x793a68e64214a1c4a0406a214874b60781320596,512
0xd7755d13a57a5f11f409642640335fa1b7f62f38,512
0xfcd2bad73892ded463e6dc2cb9cb4f44dc6c3556,512
0xa7d68854ad6177dcd2195ffe5530f390bbc08bfa,512
0xadfc67d410786edc07daa937fed6b89ff9a10da9,512
0xb687d41c62674e0ca6fb6560cee24e20a3ed126f,512
0x60f90cd17e0deccc58b55a98efc9e5ef4ca03a45,512
0x1db310b8eebe35cbb7a1e1be1011b6fb85052bda,512
0x72b786ff9ef6d56a2b2dddcfff9bf78f353b145b,512
0x5939c186d67f6b15e80952c51a219d358a09bca9,512
0x0a4e591fa82edb8566f58950179a3e4fb7cb8bcc,512
0xb440d55d052e42e69784b5a6ba250dd15b6afacb,512
0xf2e4d194eedeee5212300694d019008d9a2d55fd,512
0x9a3e363fc7cfa5f7269220f5fcb67e51eebf537c,512
0x06ec69d3b79925de00892e67cc1b7d42e7685dcf,512
0xb9557960d25a22288c1581d86d3f5e61209d6176,512
0xfec33a90737254dcf9aa33188a11f32797197f93,512
0x956d079b656a3955ab4f2f596d1bbfd6f3ae60dc,512
0x3cdbced469f1488c25f4f26ab297c038b6581424,512
0x35a8fb13a3af83ad1002aef2a7fa4733f7bc8794,512
0x96b0425c29ab7664d80c4754b681f5907172ec7c,512
0x8847916be41b3cc93077ceef7dd3fd868a3f385d,512
